Sub_basin,Season,Index,Metric,Lag,n,r,p_eff,q_fdr
Northern,Winter,ONI,Exposure,-3,27,-0.2612276859237553,0.2092811981505831,0.8371247926023324
Northern,Winter,ONI,Exposure,-2,28,0.13325578822424164,0.5128158767090549,0.8857040783450493
Northern,Winter,ONI,Exposure,-1,29,0.0048043892207763565,0.9807827830830966,0.9933712482297942
Northern,Winter,ONI,Exposure,0,30,-0.37147187414017135,0.04738054239932654,0.6329236289706294
Northern,Winter,ONI,Exposure,1,29,-0.07310429195941139,0.7137494191096088,0.9095539939874232
Northern,Winter,ONI,Exposure,2,29,0.20646561822328094,0.2951676517600612,0.8857040783450493
Northern,Winter,ONI,Exposure,3,28,0.10772984930968707,0.592234577927726,0.8857040783450493
Northern,Winter,ONI,Intensity,-3,27,-0.1017976775950637,0.6133884700897734,0.8894577908907727
Northern,Winter,ONI,Intensity,-2,28,0.11113116067314185,0.5734423832542273,0.8857040783450493
Northern,Winter,ONI,Intensity,-1,29,-0.16035429138676546,0.40600368681963417,0.8857040783450493
Northern,Winter,ONI,Intensity,0,30,-0.4582026766722942,0.010885013573542546,0.6095607601183826
Northern,Winter,ONI,Intensity,1,29,-0.08911860338330055,0.6457138522136558,0.9002483582729808
Northern,Winter,ONI,Intensity,2,29,0.16864036031381477,0.3818480827788979,0.8857040783450493
Northern,Winter,ONI,Intensity,3,28,0.409706309574791,0.030373554976576456,0.6329236289706294
Northern,Winter,DMI,Exposure,-3,27,-0.16591096312850728,0.4082029667966347,0.8857040783450493
Northern,Winter,DMI,Exposure,-2,28,0.06710154874758656,0.7344120697056367,0.9173325480338064
Northern,Winter,DMI,Exposure,-1,29,0.1544713094365979,0.4236633203887248,0.8857040783450493
Northern,Winter,DMI,Exposure,0,30,0.07414448910001317,0.6969900891630729,0.9072770694373178
Northern,Winter,DMI,Exposure,1,29,0.017950048043340376,0.9284434923076883,0.9828306072118762
Northern,Winter,DMI,Exposure,2,29,0.00023898707484746803,0.9990452126945277,0.9990452126945277
Northern,Winter,DMI,Exposure,3,28,-0.22107200392273987,0.26783663860706297,0.8857040783450493
Northern,Winter,DMI,Intensity,-3,27,-0.02030959590256518,0.9212731535220022,0.9795815809601036
Northern,Winter,DMI,Intensity,-2,28,0.1370170155664043,0.49710393421359345,0.8857040783450493
Northern,Winter,DMI,Intensity,-1,29,-0.09255835324266307,0.6386025051429984,0.8996808286359554
Northern,Winter,DMI,Intensity,0,30,-0.17912882480613274,0.35029210572912595,0.8857040783450493
Northern,Winter,DMI,Intensity,1,29,0.21624167087757737,0.2598828143374905,0.8857040783450493
Northern,Winter,DMI,Intensity,2,29,0.11141429426209497,0.5650282977132011,0.8857040783450493
Northern,Winter,DMI,Intensity,3,28,0.1277863694771795,0.5169731040431671,0.8857040783450493
Northern,Pre-monsoon,ONI,Exposure,-3,28,0.20226386826601075,0.30197787593196335,0.8857040783450493
Northern,Pre-monsoon,ONI,Exposure,-2,29,-0.1735043933112594,0.3680649127251079,0.8857040783450493
Northern,Pre-monsoon,ONI,Exposure,-1,30,-0.24357133515028584,0.19461577282748133,0.8245629227577517
Northern,Pre-monsoon,ONI,Exposure,0,31,0.19862774774314057,0.28408657710035357,0.8857040783450493
Northern,Pre-monsoon,ONI,Exposure,1,30,0.13058801383615562,0.49156493896234643,0.8857040783450493
Northern,Pre-monsoon,ONI,Exposure,2,29,-0.30688391694784156,0.10538847309416566,0.7471371937912804
Northern,Pre-monsoon,ONI,Exposure,3,28,-0.08835998960286001,0.6547909545188539,0.9016793472062907
