Sub_basin,Season,Index,Metric,n_positive,n_negative,mean_positive,mean_negative,mean_difference,ci_low_95,ci_high_95,p_value
Northern,Winter,ONI,Exposure,8,8,13.0,27.0,-14.0,-29.5,1.0,0.11813345583232464
Northern,Winter,ONI,Intensity,8,8,0.7825076635789249,1.2141651568505814,-0.4316574932716565,-0.8186283526079701,-0.10430984758178215,0.0502873745207714
Northern,Winter,DMI,Exposure,2,0,17.0,,,,,
Northern,Winter,DMI,Intensity,2,0,0.9845357142857145,,,,,
Northern,Pre-monsoon,ONI,Exposure,5,6,45.8,29.333333333333332,16.466666666666665,-27.867499999999996,59.4074999999999,0.5339097021395047
Northern,Pre-monsoon,ONI,Intensity,5,6,1.2991341584158416,1.2487025313283209,0.05043162708752069,-0.0566261172175488,0.16021683677634663,0.4331420533415282
Northern,Pre-monsoon,DMI,Exposure,2,1,64.0,18.0,,,,
Northern,Pre-monsoon,DMI,Intensity,2,1,1.3912629274965793,1.2,,,,
Northern,Monsoon,ONI,Exposure,5,6,68.2,70.83333333333333,-2.6333333333333258,-66.8675,60.40249999999997,0.9445007674363162
Northern,Monsoon,ONI,Intensity,5,6,1.1845414348808903,1.275742482641736,-0.09120104776084581,-0.2146740368712036,0.03827050543487169,0.24474660624844702
Northern,Monsoon,DMI,Exposure,4,4,73.5,70.75,2.75,-73.75,84.25,0.9552527291033486
Northern,Monsoon,DMI,Intensity,4,4,1.1735150804813252,1.2597815533980583,-0.08626647291673306,-0.15049941165716121,-0.008371262386264887,0.10571180475353895
Northern,Post-monsoon,ONI,Exposure,10,13,21.8,38.92307692307692,-17.12307692307692,-38.08557692307693,1.5886538461537854,0.1256976150378041
Northern,Post-monsoon,ONI,Intensity,10,13,1.0954056838825132,1.1693183225936123,-0.0739126387110991,-0.21047716737693026,0.037481392953330805,0.2832168443325289
Northern,Post-monsoon,DMI,Exposure,6,6,25.666666666666668,49.833333333333336,-24.166666666666668,-59.33333333333333,8.833333333333332,0.2596099647900993
Northern,Post-monsoon,DMI,Intensity,6,6,1.0752320006100495,1.2266172079134003,-0.1513852073033508,-0.390662668638001,0.0047429382611914464,0.25372762878071786
Central,Winter,ONI,Exposure,7,10,37.142857142857146,25.3,11.842857142857145,-11.171785714285717,36.8867857142857,0.39773815911552335
Central,Winter,ONI,Intensity,7,10,0.9693871994157827,1.0630946690386565,-0.0937074696228738,-0.2627110582039254,0.017853949045320106,0.27274153032834253
Central,Winter,DMI,Exposure,1,0,5.0,,,,,
Central,Winter,DMI,Intensity,1,0,0.9,,,,,
Central,Pre-monsoon,ONI,Exposure,5,6,48.4,34.0,14.399999999999999,-25.3025,51.6,0.5293829821895297
Central,Pre-monsoon,ONI,Intensity,5,6,1.1627732323580036,1.1845998579709234,-0.021826625612919814,-0.10953902853071326,0.04955915529438265,0.6469877706634194
Central,Pre-monsoon,DMI,Exposure,2,1,55.0,12.0,,,,
Central,Pre-monsoon,DMI,Intensity,2,1,1.2076505847953216,1.18,,,,
Central,Monsoon,ONI,Exposure,5,6,40.8,70.33333333333333,-29.53333333333333,-73.06833333333333,14.466666666666665,0.2790015480545167
Central,Monsoon,ONI,Intensity,5,6,1.0737158255159474,1.0937870448664306,-0.020071219350483283,-0.09811827912042327,0.06576243582918954,0.6827902864652147
Central,Monsoon,DMI,Exposure,4,4,32.75,77.75,-45.0,-119.0,19.537499999999454,0.3522101725366522
Central,Monsoon,DMI,Intensity,4,4,1.0032163461538461,1.0578323529411766,-0.05461600678733047,-0.09053365384615386,-0.01656436651583703,0.07996180945620267
Central,Post-monsoon,ONI,Exposure,10,13,32.4,28.23076923076923,4.169230769230769,-19.195576923076924,26.63115384615384,0.7375748788726044
Central,Post-monsoon,ONI,Intensity,10,13,0.9958895962478381,1.079105890156468,-0.08321629390862995,-0.2460031015975105,0.03874809136438176,0.286159469677355
