year,event_count,mhw_days,max_intensity_c,max_severity_rank
1995,2,33,0.680135,2
1996,3,33,0.54885,2
1997,3,27,0.431503,2
1998,1,28,0.68744,1
1999,3,23,0.501949,2
2000,4,25,0.383387,2
2001,2,22,0.313948,1
2002,4,24,0.481316,1
2003,3,34,0.579726,1
2004,2,27,0.568507,1
2005,2,23,0.48049,1
2006,5,33,0.356064,1
2007,3,36,0.238699,1
2008,2,31,0.450159,1
2009,3,29,0.389205,1
2010,2,34,0.445849,1
2011,5,31,0.277529,1
2012,3,30,0.323584,1
2013,4,29,0.136934,1
2014,3,36,0.512855,1
2015,3,35,0.334045,1
2016,2,37,0.533518,1
2017,4,28,0.194344,1
2018,3,36,0.311942,1
2019,2,26,0.276015,1
2020,3,37,0.302853,1
2021,2,31,0.464777,1
2022,3,30,0.577907,1
2023,2,27,0.342758,1
2024,1,27,0.662647,1
2025,3,23,0.183033,1
