start_date,end_date,duration_days,peak_intensity_c,mean_intensity_c,cumulative_intensity_c,year,event_id,category,threshold_excess_mean_c,threshold_excess_peak_c,observed_peak_sst_c
1995-04-02,1995-04-28,27,0.680135,0.41641,11.243081,1995,1995_01,Strong,0.5387519014871103,0.638715687080424,30.213634236657583
1995-07-14,1995-07-19,6,0.097682,0.058422,0.35053,1995,1995_02,Moderate,0.4638680313866068,0.4638680313866068,28.986688453779443
1996-03-17,1996-03-25,9,0.54885,0.259055,2.331494,1996,1996_01,Strong,0.43158102573316803,0.44107228138637566,28.69600205665632
1996-04-07,1996-04-25,19,0.446915,0.209826,3.986689,1996,1996_02,Moderate,0.5474393641787584,0.6191800121776261,29.68905463322423
1996-06-09,1996-06-13,5,0.055535,0.031764,0.158819,1996,1996_03,Moderate,0.47126000306239035,0.47126000306239035,29.333072696871437
1997-05-04,1997-05-10,7,0.270243,0.13873,0.971108,1997,1997_01,Moderate,0.7635935694693181,0.7635935694693181,30.27208419083497
1997-10-07,1997-10-18,12,0.226006,0.122109,1.465304,1997,1997_02,Moderate,0.4860214561426801,0.4860214561426801,29.418432606144904
1997-10-21,1997-10-28,8,0.431503,0.246674,1.973393,1997,1997_03,Strong,0.4173406239333204,0.4173406239333204,29.102213144988763
1998-04-24,1998-05-21,28,0.68744,0.335334,9.389338,1998,1998_01,Moderate,0.7345968673368981,0.7705877545132473,30.834939559375208
1999-01-08,1999-01-17,10,0.37483,0.200422,2.004218,1999,1999_01,Moderate,0.4600934828760366,0.46154582665421984,27.52485286585952
1999-02-25,1999-03-02,6,0.221031,0.172924,1.037545,1999,1999_02,Moderate,0.4422329396317046,0.4422329396317046,28.105541309511676
1999-03-21,1999-03-27,7,0.501949,0.327716,2.294015,1999,1999_03,Strong,0.42828742864641,0.42828742864641,29.11510538391369
2000-02-11,2000-02-15,5,0.228232,0.15286,0.764301,2000,2000_01,Moderate,0.4333046749697438,0.4333046749697438,27.21794125537748
2000-03-20,2000-03-26,7,0.245436,0.133702,0.935913,2000,2000_02,Moderate,0.4413407115465269,0.4413407115465269,28.377135957121553
2000-09-25,2000-09-30,6,0.150946,0.089742,0.538452,2000,2000_03,Moderate,,,
2000-11-02,2000-11-08,7,0.383387,0.236542,1.655794,2000,2000_04,Strong,0.3583180328805078,0.3583180328805078,28.721241477152343
