lon,lat,subbasin,n_years_days,mhw_days_sen_per_decade,mhw_days_mk_p,mhw_days_mk_tau,mhw_days_sig_p05,n_years_intensity,intensity_sen_per_decade,intensity_mk_p,intensity_mk_tau,intensity_sig_p05
80.375,10.125,Central BoB,31,6.0,0.11523637759489347,0.2,False,24,-0.06757967032967035,0.02727273655786444,-0.32608695652173914,True
80.625,13.875,Central BoB,31,0.0,1.0,0.002150537634408602,False,25,-0.04752232142857148,0.1411929728237964,-0.21333333333333335,False
80.625,14.625,Central BoB,31,0.0,0.77160983689722,-0.03870967741935484,False,27,-0.0441025641025642,0.1131106461602176,-0.21937321937321938,False
80.875,15.375,Central BoB,31,2.631578947368421,0.42302276224237834,0.1032258064516129,False,27,-0.017857142857142794,0.46551216987418664,-0.10256410256410256,False
81.625,9.125,Southern BoB,31,2.4,0.18506005752101018,0.16559139784946236,False,20,-0.048266666666666735,0.005819816954009793,-0.45263157894736844,True
81.625,11.125,Central BoB,31,14.210526315789473,0.0020356283375790873,0.3870967741935484,True,21,-0.04761936090225559,0.1095017011964754,-0.2571428571428571,False
81.875,8.125,Southern BoB,31,2.307692307692308,0.4124752474225135,0.1053763440860215,False,25,-0.0514488636363636,0.08821070970409317,-0.24666666666666667,False
81.875,12.875,Central BoB,31,17.5,0.003154808035280565,0.3720430107526882,True,23,-0.07480769230769235,0.011231776901026835,-0.383399209486166,True
82.125,5.375,Southern BoB,31,7.6923076923076925,0.014281759177015463,0.30752688172043013,True,22,-0.022993197278911554,0.5727823105937271,-0.09090909090909091,False
82.125,14.375,Central BoB,31,15.0,0.020559511092925975,0.2946236559139785,True,27,-0.0326278659611993,0.4784517390861751,-0.09971509971509972,False
82.375,10.125,Central BoB,31,12.0,0.00046087522379778534,0.44086021505376344,True,23,-0.023777777777777825,0.39803568959424807,-0.13043478260869565,False
82.625,6.375,Southern BoB,31,12.5,0.007058672369668395,0.33763440860215055,True,22,-0.03558333333333335,0.323485719878867,-0.15584415584415584,False
82.625,13.125,Central BoB,31,15.88235294117647,0.017774372456717646,0.2989247311827957,True,23,-0.06624999999999999,0.20490442371975082,-0.19367588932806323,False
82.875,15.125,Central BoB,31,10.714285714285714,0.048936179763995113,0.24946236559139784,True,24,-0.030322916666666686,0.14334161203712004,-0.21739130434782608,False
83.125,16.625,Northern BoB,31,3.6363636363636367,0.47421153474393085,0.09247311827956989,False,27,-0.0024999999999999714,1.0,-0.002849002849002849,False
83.375,9.125,Southern BoB,31,7.368421052631579,0.05028732651294554,0.24946236559139784,False,27,-0.040000000000000036,0.06062481656676533,-0.25925925925925924,False
83.375,14.375,Central BoB,31,14.761904761904763,0.023137591433476157,0.28817204301075267,True,25,-0.06078947368421055,0.08385578311117992,-0.25,False
83.625,14.375,Central BoB,31,14.285714285714286,0.020886611058902993,0.2924731182795699,True,24,-0.048274305555555536,0.1724913614849526,-0.2028985507246377,False
83.875,5.375,Southern BoB,31,12.857142857142858,0.010230252954990915,0.3225806451612903,True,22,-0.059861111111111184,0.03210967274372978,-0.3333333333333333,True
83.875,7.875,Southern BoB,31,7.5,0.0341939840692953,0.26881720430107525,True,25,-0.04850718390804601,0.026505643985675675,-0.32,True
83.875,12.875,Central BoB,31,18.18181818181818,0.0016334528307930807,0.3978494623655914,True,24,-0.03873684210526315,0.08698814891833662,-0.2536231884057971,False
84.125,10.125,Central BoB,31,17.0,0.002386463358302171,0.3849462365591398,True,25,-0.022580555555555604,0.2524605042504313,-0.16666666666666666,False
84.125,17.375,Northern BoB,31,7.222222222222222,0.10228822531539894,0.2086021505376344,False,28,-0.022806547619047622,0.3330096834319116,-0.13227513227513227,False
84.375,12.625,Central BoB,31,13.0,0.02910475440024274,0.27741935483870966,True,26,0.01111111111111108,0.7243397423849234,0.052307692307692305,False
84.625,15.125,Central BoB,31,14.545454545454547,0.08436784192635183,0.21935483870967742,False,25,-0.022192982456140358,0.387514377839314,-0.12666666666666668,False
84.625,18.375,Northern BoB,31,12.5,0.006794862378977751,0.34408602150537637,True,28,-0.028458333333333308,0.44100082890033687,-0.10582010582010581,False
84.875,6.125,Southern BoB,31,14.210526315789473,0.0017792641378731044,0.3935483870967742,True,23,-0.07725000000000004,0.036874208033003786,-0.31620553359683795,True
84.875,14.125,Central BoB,31,14.736842105263158,0.020849180336813156,0.2924731182795699,True,24,0.00038739669421492743,1.0,0.0,False
84.875,14.375,Central BoB,31,14.615384615384615,0.01825365007375601,0.2967741935483871,True,22,-0.003333333333333352,0.7350804926819565,-0.05627705627705628,False
84.875,16.375,Northern BoB,31,10.0,0.06326065979581674,0.23655913978494625,False,26,-0.04201680672268913,0.23395060590621997,-0.16923076923076924,False
85.125,13.125,Central BoB,31,13.333333333333332,0.04947828422123823,0.24731182795698925,True,22,-0.027608695652173863,0.21471330142519163,-0.19480519480519481,False
85.375,18.125,Northern BoB,31,17.333333333333336,0.014104728493127716,0.3118279569892473,True,27,0.0167692307692308,0.26027849278171566,0.15669515669515668,False
85.375,19.125,Northern BoB,31,14.666666666666666,0.021615267978271735,0.2924731182795699,True,28,-0.0007536119711041775,0.9684752082512651,-0.007936507936507936,False
85.625,7.875,Southern BoB,31,13.600000000000001,0.0021117626418114543,0.3870967741935484,True,23,-0.05948717948717951,0.04472893731365213,-0.30434782608695654,True
85.625,9.125,Southern BoB,31,10.0,0.018565845412302995,0.2989247311827957,True,26,-0.05960526315789478,0.15834511256712158,-0.2,False
85.875,5.125,Southern BoB,31,14.166666666666668,0.0012111093875464274,0.40860215053763443,True,24,-0.035253968253968176,0.33335824348826115,-0.14492753623188406,False
85.875,11.625,Central BoB,31,19.444444444444443,0.0032203805574082534,0.3720430107526882,True,24,-0.020171052631578947,0.4719390404163102,-0.10869565217391304,False
86.125,10.375,Central BoB,31,16.666666666666668,0.0023724832205085367,0.3849462365591398,True,24,-0.050868347338935624,0.06283881974106831,-0.2753623188405797,False
86.125,12.625,Central BoB,31,17.916666666666668,0.0013647476049210017,0.4043010752688172,True,24,-0.004416083916083962,0.9406815986652011,-0.014492753623188406,False
86.125,15.125,Central BoB,31,14.0,0.05153614331697942,0.24731182795698925,False,25,0.04979166666666659,0.020769866768182377,0.3333333333333333,True
86.375,14.375,Central BoB,31,18.88888888888889,0.009081957497158566,0.32903225806451614,True,23,-0.011315789473684192,0.7513001501987964,-0.05138339920948617,False
86.375,18.125,Northern BoB,31,21.666666666666664,0.008162031064584463,0.33548387096774196,True,25,0.010216386554621811,0.8885272207402328,0.023333333333333334,False
86.375,19.125,Northern BoB,31,14.444444444444445,0.011781421938685144,0.3204301075268817,True,29,0.04714583333333336,0.07474664305364853,0.23645320197044334,False
86.625,16.625,Northern BoB,31,15.0,0.01703552858327373,0.3032258064516129,True,26,-0.0050000000000000044,0.7913957365052897,-0.04,False
86.625,17.375,Northern BoB,31,19.23076923076923,0.01787992927410542,0.3010752688172043,True,28,-0.015455653021442537,0.7369758150394312,-0.047619047619047616,False
86.625,19.875,Northern BoB,31,13.076923076923077,0.00343438665162199,0.3720430107526882,True,29,-0.009226190476190298,0.8073432738589212,-0.034482758620689655,False
86.875,14.125,Central BoB,31,22.307692307692307,0.005271426440094817,0.35268817204301073,True,24,-0.019102678571428555,0.5683377615538607,-0.08695652173913043,False
86.875,18.125,Northern BoB,31,23.333333333333336,0.004246370086022244,0.3634408602150538,True,28,0.004587301587301399,0.9056221682700023,0.018518518518518517,False
86.875,20.375,Northern BoB,31,11.538461538461537,0.027048866440217534,0.2817204301075269,True,29,0.0017516722408026405,0.8955329031670438,0.019704433497536946,False
