region,metric,metric_pretty,unit,n,mk_tau,mk_z,mk_p,sen_slope_per_year,sen_slope_per_decade,sen_ci_low_per_decade,sen_ci_high_per_decade,pettitt_change_year,pettitt_K,pettitt_p
Basin,event_frequency_mean,Event frequency,events yr$^{-1}$,31,0.43655913978494626,3.4332762272184345,0.000596334223081918,0.12453433134333017,1.2453433134333016,0.4500828017712554,1.859204107529512,2013,172.0,0.006226348694330425
Basin,mhw_days_mean,MHW days,days yr$^{-1}$,31,0.5225806451612903,4.11313290587555,3.903255135684347e-05,1.5483785052996344,15.483785052996344,7.312973827507302,27.472315802346973,2013,198.0,0.0009529803296385021
Basin,mean_intensity_active_cells,Mean intensity,°C,31,-0.2645161290322581,-2.073562869904203,0.038119926564599727,-0.0015755982706407768,-0.015755982706407767,-0.03408138433638572,-0.0013887776443782614,2005,126.0,0.09031899827614837
Basin,cumulative_intensity_mean,Cumulative intensity,°C·days yr$^{-1}$,31,0.513978494623656,4.0451472380098386,5.229024939912286e-05,1.5918742774272112,15.918742774272111,8.230303860937592,32.34493775370141,2013,200.0,0.0008158963224523606
Northern BoB,event_frequency_mean,Event frequency,events yr$^{-1}$,31,0.41935483870967744,3.2973048914870113,0.0009761747063838921,0.10508637087743024,1.0508637087743025,0.4153855941707323,2.040590864621126,2013,160.0,0.013546190625814363
Northern BoB,mhw_days_mean,MHW days,days yr$^{-1}$,31,0.4752688172043011,3.7392117326141365,0.00018459819815141998,1.5175380725904146,15.175380725904146,7.122148011204068,30.173786685113644,2013,178.0,0.004133235970397628
Northern BoB,mean_intensity_active_cells,Mean intensity,°C,31,0.03225806451612903,0.2379498375299905,0.8119200006410021,0.000297062027125468,0.00297062027125468,-0.015994683090987595,0.02450433389824036,1997,50.0,1.0
Northern BoB,cumulative_intensity_mean,Cumulative intensity,°C·days yr$^{-1}$,31,0.46236559139784944,3.637233230815569,0.00027558237497360416,1.9516340616015124,19.516340616015125,7.762095038340352,37.88741661970237,2013,178.0,0.004133235970397628
Central BoB,event_frequency_mean,Event frequency,events yr$^{-1}$,31,0.3763440860215054,2.957376552158453,0.0031026895944057387,0.12390862751391687,1.2390862751391687,0.3021987438353766,2.0027854642183454,2014,156.0,0.017334928929699546
Central BoB,mhw_days_mean,MHW days,days yr$^{-1}$,31,0.46236559139784944,3.637233230815569,0.00027558237497360416,1.61126837378147,16.1126837378147,5.501839670346415,29.00525871165996,2014,178.0,0.004133235970397628
Central BoB,mean_intensity_active_cells,Mean intensity,°C,31,-0.1870967741935484,-1.4616918591127988,0.14382566910763628,-0.002196534894082225,-0.02196534894082225,-0.048986407863413906,0.0037568457015807466,2005,100.0,0.28423741228134497
Central BoB,cumulative_intensity_mean,Cumulative intensity,°C·days yr$^{-1}$,31,0.432258064516129,3.3992833932855784,0.000675626717447253,1.9199524963501169,19.19952496350117,4.978688167845486,32.23915514729593,2014,172.0,0.006226348694330425
Southern BoB,event_frequency_mean,Event frequency,events yr$^{-1}$,31,0.4150537634408602,3.263312057554155,0.0011011819487161123,0.10608478836201796,1.0608478836201796,0.4031567292421215,1.6343711252655733,2012,170.0,0.00711528161526117
Southern BoB,mhw_days_mean,MHW days,days yr$^{-1}$,31,0.4967741935483871,3.9091759022784154,9.261151253348032e-05,1.1502470278076529,11.50247027807653,5.982048621408155,22.92473227088965,2012,198.0,0.0009529803296385021
Southern BoB,mean_intensity_active_cells,Mean intensity,°C,31,-0.34623655913978496,-2.719426714628463,0.006539518436156966,-0.004007522870175362,-0.04007522870175362,-0.06708906217178345,-0.01273498018190353,2005,144.0,0.03499190746900243
Southern BoB,cumulative_intensity_mean,Cumulative intensity,°C·days yr$^{-1}$,31,0.45376344086021503,3.5692475629498577,0.00035800799918561665,1.19867446498177,11.9867446498177,5.238595162174409,22.03700614465545,2012,184.0,0.0027054907329188437
