year,subbasin,season,variable,value,year_month,is_mhw
1995,Central,Monsoon,do,201.52220576243263,1995-06-01,1
1995,Central,Monsoon,do,201.52220576243263,1995-07-01,1
1995,Central,Monsoon,do,201.52220576243263,1995-08-01,0
1995,Central,Monsoon,do,201.52220576243263,1995-09-01,1
1996,Central,Monsoon,do,201.5302060684777,1996-06-01,1
1996,Central,Monsoon,do,201.5302060684777,1996-07-01,1
1996,Central,Monsoon,do,201.5302060684777,1996-08-01,0
1996,Central,Monsoon,do,201.5302060684777,1996-09-01,0
1997,Central,Monsoon,do,200.97896838304058,1997-06-01,1
1997,Central,Monsoon,do,200.97896838304058,1997-07-01,0
1997,Central,Monsoon,do,200.97896838304058,1997-09-01,1
1998,Central,Monsoon,do,200.27580050863966,1998-06-01,1
1998,Central,Monsoon,do,200.27580050863966,1998-07-01,1
1998,Central,Monsoon,do,200.27580050863966,1998-08-01,1
1998,Central,Monsoon,do,200.27580050863966,1998-09-01,1
1999,Central,Monsoon,do,203.0449908692604,1999-08-01,0
1999,Central,Monsoon,do,203.0449908692604,1999-09-01,0
2000,Central,Monsoon,do,202.31045158810278,2000-06-01,1
2000,Central,Monsoon,do,202.31045158810278,2000-08-01,1
2000,Central,Monsoon,do,202.31045158810278,2000-09-01,1
2001,Central,Monsoon,do,201.63100792456618,2001-06-01,1
2001,Central,Monsoon,do,201.63100792456618,2001-07-01,1
2001,Central,Monsoon,do,201.63100792456618,2001-08-01,1
2001,Central,Monsoon,do,201.63100792456618,2001-09-01,1
2002,Central,Monsoon,do,201.51797982354066,2002-06-01,0
2002,Central,Monsoon,do,201.51797982354066,2002-07-01,1
2002,Central,Monsoon,do,201.51797982354066,2002-08-01,1
2002,Central,Monsoon,do,201.51797982354066,2002-09-01,1
2003,Central,Monsoon,do,201.54380357293027,2003-06-01,0
2003,Central,Monsoon,do,201.54380357293027,2003-07-01,0
2003,Central,Monsoon,do,201.54380357293027,2003-08-01,0
2003,Central,Monsoon,do,201.54380357293027,2003-09-01,0
2004,Central,Monsoon,do,202.2086983872372,2004-06-01,0
2004,Central,Monsoon,do,202.2086983872372,2004-07-01,0
2004,Central,Monsoon,do,202.2086983872372,2004-08-01,1
2004,Central,Monsoon,do,202.2086983872372,2004-09-01,1
2005,Central,Monsoon,do,201.19566151178677,2005-06-01,1
2005,Central,Monsoon,do,201.19566151178677,2005-07-01,1
2005,Central,Monsoon,do,201.19566151178677,2005-08-01,1
2005,Central,Monsoon,do,201.19566151178677,2005-09-01,1
2006,Central,Monsoon,do,201.48852563347597,2006-06-01,1
2006,Central,Monsoon,do,201.48852563347597,2006-07-01,1
2006,Central,Monsoon,do,201.48852563347597,2006-08-01,0
2006,Central,Monsoon,do,201.48852563347597,2006-09-01,1
2007,Central,Monsoon,do,201.9999258050519,2007-06-01,1
2007,Central,Monsoon,do,201.9999258050519,2007-07-01,1
2007,Central,Monsoon,do,201.9999258050519,2007-08-01,1
2008,Central,Monsoon,do,201.99731132637365,2008-06-01,0
2008,Central,Monsoon,do,201.99731132637365,2008-07-01,1
2008,Central,Monsoon,do,201.99731132637365,2008-08-01,0
2008,Central,Monsoon,do,201.99731132637365,2008-09-01,1
2009,Central,Monsoon,do,201.1465382863637,2009-06-01,0
2009,Central,Monsoon,do,201.1465382863637,2009-07-01,1
2009,Central,Monsoon,do,201.1465382863637,2009-08-01,1
2009,Central,Monsoon,do,201.1465382863637,2009-09-01,1
2010,Central,Monsoon,do,200.4437274390724,2010-06-01,1
2010,Central,Monsoon,do,200.4437274390724,2010-07-01,1
2010,Central,Monsoon,do,200.4437274390724,2010-08-01,1
2010,Central,Monsoon,do,200.4437274390724,2010-09-01,1
2012,Central,Monsoon,do,201.73681110279193,2012-06-01,0
2012,Central,Monsoon,do,201.73681110279193,2012-08-01,0
2014,Central,Monsoon,do,201.56927712091954,2014-06-01,1
2014,Central,Monsoon,do,201.56927712091954,2014-07-01,1
2014,Central,Monsoon,do,201.56927712091954,2014-08-01,1
2014,Central,Monsoon,do,201.56927712091954,2014-09-01,0
2015,Central,Monsoon,do,201.03443172579836,2015-06-01,1
2015,Central,Monsoon,do,201.03443172579836,2015-07-01,1
2015,Central,Monsoon,do,201.03443172579836,2015-08-01,1
2015,Central,Monsoon,do,201.03443172579836,2015-09-01,1
