Sub-basin,Season,Metric,Index,n,r,p,q_fdr,sig_fdr_0_05,Positive_phase,Negative_phase,n_positive,n_negative,mean_positive,mean_negative,phase_difference,ci_low_95,ci_high_95,phase_p
Northern,Winter,Exposure,ONI,30,-0.37147187414017135,0.043263747157688937,0.3311086341321165,False,El Niño,La Niña,8,8,13.0,27.0,-14.0,-29.5,1.0,0.11813345583232464
Northern,Winter,Exposure,DMI,30,0.07414448910001317,0.6969900891629285,0.7603528245413765,False,Positive IOD,Negative IOD,2,0,,,,,,
Northern,Winter,Intensity,ONI,30,-0.4582026766722942,0.010885013573497688,0.2612403257639445,False,El Niño,La Niña,8,8,0.7825076635789249,1.2141651568505814,-0.4316574932716565,-0.8186283526079701,-0.10430984758178215,0.0502873745207714
Northern,Winter,Intensity,DMI,30,-0.17912882480613274,0.34357240011683243,0.5497158401869319,False,Positive IOD,Negative IOD,2,0,,,,,,
Northern,Pre-monsoon,Exposure,ONI,31,0.19862774774314057,0.2840865771001077,0.5244675269540451,False,El Niño,La Niña,5,6,45.8,29.333333333333332,16.466666666666665,-27.867499999999996,59.4074999999999,0.5339097021395047
Northern,Pre-monsoon,Exposure,DMI,31,0.3171702008466649,0.08211088369581025,0.3425634006349543,False,Positive IOD,Negative IOD,2,1,,,,,,
Northern,Pre-monsoon,Intensity,ONI,31,0.1597822710970517,0.39055730643714737,0.5680833548176689,False,El Niño,La Niña,5,6,1.2991341584158416,1.2487025313283209,0.05043162708752069,-0.0566261172175488,0.16021683677634663,0.4331420533415282
Northern,Pre-monsoon,Intensity,DMI,31,0.20007439334100166,0.2805220476707324,0.5244675269540451,False,Positive IOD,Negative IOD,2,1,,,,,,
Northern,Monsoon,Exposure,ONI,31,-0.2990921647288679,0.10215313212213775,0.34732374225754703,False,El Niño,La Niña,5,6,68.2,70.83333333333333,-2.6333333333333258,-66.8675,60.40249999999997,0.9445007674363162
Northern,Monsoon,Exposure,DMI,31,-0.14493884308814592,0.4366019571771036,0.5975375583825396,False,Positive IOD,Negative IOD,4,4,73.5,70.75,2.75,-74.78124999999999,84.25,0.9552527291033486
Northern,Monsoon,Intensity,ONI,31,-0.28955686443319584,0.11410808115064285,0.34732374225754703,False,El Niño,La Niña,5,6,1.1845414348808903,1.275742482641736,-0.09120104776084581,-0.2146740368712036,0.03827050543487169,0.24474660624844702
Northern,Monsoon,Intensity,DMI,31,-0.405527096826432,0.023615365415280205,0.3311086341321165,False,Positive IOD,Negative IOD,4,4,1.1735150804813252,1.2597815533980583,-0.08626647291673306,-0.15048869513895524,-0.009760888420066073,0.10571180475353895
Northern,Post-monsoon,Exposure,ONI,31,-0.2983997685545322,0.10298805295948053,0.34732374225754703,False,El Niño,La Niña,10,13,21.8,38.92307692307692,-17.12307692307692,-38.08557692307693,1.5886538461537854,0.1256976150378041
Northern,Post-monsoon,Exposure,DMI,31,-0.3742707129123304,0.038052686667169294,0.3311086341321165,False,Positive IOD,Negative IOD,6,6,25.666666666666668,49.833333333333336,-24.166666666666668,-60.17083333333332,9.50416666666661,0.2596099647900993
Northern,Post-monsoon,Intensity,ONI,31,-0.14819527368617064,0.4262549449751375,0.5975375583825396,False,El Niño,La Niña,10,13,1.0954056838825132,1.1693183225936123,-0.0739126387110991,-0.21047716737693026,0.037481392953330805,0.2832168443325289
Northern,Post-monsoon,Intensity,DMI,31,-0.16107271166325263,0.38669130015678954,0.5680833548176689,False,Positive IOD,Negative IOD,6,6,1.0752320006100495,1.2266172079134003,-0.1513852073033508,-0.39405026024890744,0.003447318775099383,0.25372762878071786
Central,Winter,Exposure,ONI,31,0.10266277517701944,0.5826155984733313,0.6991387181679976,False,El Niño,La Niña,7,10,37.142857142857146,25.3,11.842857142857145,-11.171785714285717,36.8867857142857,0.39773815911552335
Central,Winter,Exposure,DMI,31,-0.1870578087431492,0.3136348930888137,0.5376598167236806,False,Positive IOD,Negative IOD,1,0,,,,,,
Central,Winter,Intensity,ONI,31,-0.2575338345984577,0.16190720329870906,0.43175254212989084,False,El Niño,La Niña,7,10,0.9693871994157827,1.0630946690386565,-0.0937074696228738,-0.2627110582039254,0.017853949045320106,0.27274153032834253
Central,Winter,Intensity,DMI,31,-0.2348500507139983,0.20346881466322672,0.46507157637308966,False,Positive IOD,Negative IOD,1,0,,,,,,
Central,Pre-monsoon,Exposure,ONI,31,0.22717247366586682,0.2190675573678826,0.4779655797117439,False,El Niño,La Niña,5,6,48.4,34.0,14.399999999999999,-25.3025,51.6,0.5293829821895297
Central,Pre-monsoon,Exposure,DMI,31,0.26723524097169027,0.14612872461181772,0.4125987518451324,False,Positive IOD,Negative IOD,2,1,,,,,,
Central,Pre-monsoon,Intensity,ONI,31,0.10647237024495722,0.5686258966225936,0.6991387181679976,False,El Niño,La Niña,5,6,1.1627732323580036,1.1845998579709234,-0.021826625612919814,-0.10953902853071326,0.04955915529438265,0.6469877706634194
