event_no,year,start_date,end_date,duration_days,category,max_intensity,gap_since_previous_days
1,2010,2010-04-16,2010-04-22,7,Moderate,0.105049,
2,2010,2010-04-24,2010-05-20,27,Moderate,0.445849,1.0
3,2011,2011-01-01,2011-01-05,5,Moderate,0.063954,225.0
4,2011,2011-02-17,2011-02-22,6,Moderate,0.277529,42.0
5,2011,2011-03-03,2011-03-07,5,Moderate,0.025769,8.0
6,2011,2011-10-27,2011-10-31,5,Moderate,0.073576,233.0
7,2011,2011-12-02,2011-12-11,10,Moderate,0.274319,31.0
8,2012,2012-10-21,2012-10-30,10,Moderate,0.106011,314.0
9,2012,2012-11-02,2012-11-08,7,Moderate,0.159887,2.0
10,2012,2012-12-06,2012-12-18,13,Moderate,0.323584,27.0
11,2013,2013-01-18,2013-01-25,8,Moderate,0.135178,30.0
12,2013,2013-03-30,2013-04-04,6,Moderate,0.094893,63.0
13,2013,2013-04-23,2013-05-01,9,Moderate,0.136934,18.0
14,2013,2013-11-19,2013-11-24,6,Moderate,0.067412,201.0
15,2014,2014-04-19,2014-05-10,22,Moderate,0.512855,145.0
16,2014,2014-10-24,2014-10-29,6,Moderate,0.158149,166.0
17,2014,2014-12-10,2014-12-17,8,Moderate,0.243785,41.0
18,2015,2015-10-16,2015-10-23,8,Moderate,0.104562,302.0
19,2015,2015-11-29,2015-12-06,8,Moderate,0.304555,36.0
20,2015,2015-12-08,2015-12-26,19,Moderate,0.334045,1.0
21,2016,2016-01-19,2016-01-24,6,Moderate,0.132975,23.0
22,2016,2016-04-19,2016-05-19,31,Moderate,0.533518,85.0
23,2017,2017-08-10,2017-08-16,7,Moderate,0.101317,447.0
24,2017,2017-09-10,2017-09-17,8,Moderate,0.098227,24.0
25,2017,2017-11-17,2017-11-21,5,Moderate,0.194344,60.0
26,2017,2017-12-10,2017-12-17,8,Moderate,0.191792,18.0
27,2018,2018-03-07,2018-03-15,9,Moderate,0.060957,79.0
28,2018,2018-05-12,2018-05-31,20,Moderate,0.311942,57.0
29,2018,2018-10-01,2018-10-07,7,Moderate,0.269433,122.0
30,2019,2019-04-17,2019-04-26,10,Moderate,0.204579,191.0
31,2019,2019-10-06,2019-10-21,16,Moderate,0.276015,162.0
32,2020,2020-05-05,2020-05-14,10,Moderate,0.209101,196.0
33,2020,2020-07-24,2020-07-31,8,Moderate,0.111559,70.0
34,2020,2020-08-25,2020-09-12,19,Moderate,0.302853,24.0
35,2021,2021-04-30,2021-05-25,26,Moderate,0.464777,229.0
36,2021,2021-06-06,2021-06-10,5,Moderate,0.045733,11.0
37,2022,2022-01-22,2022-01-27,6,Moderate,0.10012,225.0
38,2022,2022-04-20,2022-05-08,19,Moderate,0.577907,82.0
39,2022,2022-09-01,2022-09-05,5,Moderate,0.049911,115.0
40,2023,2023-04-22,2023-05-03,12,Moderate,0.342758,228.0
41,2023,2023-11-04,2023-11-18,15,Moderate,0.224755,184.0
42,2024,2024-04-21,2024-05-17,27,Moderate,0.662647,154.0
43,2025,2025-02-11,2025-02-18,8,Moderate,0.178591,269.0
44,2025,2025-08-03,2025-08-11,9,Moderate,0.183033,165.0
45,2025,2025-10-19,2025-10-24,6,Moderate,0.052927,68.0
